ピーク名,p値,q値
flavanoids,1.7056949070350415e-60,2.217403379145554e-59
proline,6.581573741215945e-48,4.278022931790364e-47
od280/od315_of_diluted_wines,6.548923354721782e-47,2.837866787046105e-46
alcohol,1.6996774808079022e-43,5.523951812625682e-43
color_intensity,1.4325011499854538e-37,3.7245029899621794e-37
total_phenols,1.5712241126809561e-31,3.4043189108087383e-31
hue,6.959398995506318e-31,1.20949032619895e-30
malic_acid,7.443017391993539e-31,1.20949032619895e-30
proanthocyanins,2.5317872124087283e-21,3.6570259734792745e-21
alcalinity_of_ash,6.26802791207301e-17,8.148436285694913e-17
magnesium,5.362686646669348e-16,6.337720582427412e-16
nonflavanoid_phenols,4.938195842245947e-14,5.349712162433109e-14
ash,9.247857607009547e-07,9.247857607009547e-07
